Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10708282_BHARCH_352214_33_4133.wav,BANTAR,Marathi,0.9993671774864197
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10719119_CH_264997_42_6466.wav,BANTAR,Marathi,0.9994105100631714
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712698_KTDKAFLM_21080_8183_19965.wav,BANTAR,Marathi,0.9986315369606018
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10719083_CGBTFE_251595_22_6675.wav,BANTAR,Marathi,0.9995064735412598
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10723315_BHARCH_352231_10083_20261.wav,BANTAR,Marathi,0.9995293617248535
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10711891_KTDHGA_184704_11103_19422.wav,BANTAR,Marathi,0.9977356195449829
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10722799_BHSMCYR_332971_14_6389.wav,BANTAR,Marathi,0.999302864074707
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10708287_BHARCH_352224_34_13599.wav,BANTAR,Marathi,0.9995216131210327
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10718482_TGKSEP_83936_2_10079.wav,BANTAR,Marathi,0.9991711378097534
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10708101_APVCOHW_173311_4252_18603.wav,BANTAR,Marathi,0.9995250701904297
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712698_KTDKAFLM_21080_22_8183.wav,BANTAR,Marathi,0.9987753033638
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10711589_UPVNSU_55596_198_9260.wav,BANTAR,Marathi,0.9921368360519409
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10719023_CGBTBR_176163_0_6277.wav,BANTAR,Marathi,0.999484658241272
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712729_APATKUM_156499_0_6497.wav,BANTAR,Marathi,0.9285581111907959
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712383_UPVNLK_136180_15101_16603.wav,BANTAR,Marathi,0.9972774386405945
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10722799_BHSMCYR_332971_6530_20467.wav,BANTAR,Marathi,0.9994008541107178
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10723882_BHSMFOS_333179_20_8673.wav,BANTAR,Marathi,0.9994526505470276
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10719404_JKJHE_313389_0_10454.wav,BANTAR,Marathi,0.9992819428443909
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10723503_BHSMFA_349175_40_7451.wav,BANTAR,Marathi,0.9988499879837036
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712729_APATKUM_156499_6578_19318.wav,BANTAR,Marathi,0.9857811331748962
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712316_UPVNBUPS_42221_16485_18645.wav,BANTAR,Panjabi,0.24471189081668854
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10722842_BHSMEC_349011_94_9972.wav,BANTAR,Marathi,0.9994111061096191
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10722284_BHSMEC_349058_12_9060.wav,BANTAR,Marathi,0.9992662072181702
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712208_KTCMFLM_300560_13961_18391.wav,BANTAR,Marathi,0.9995095729827881
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712383_UPVNLK_136180_42_7357.wav,BANTAR,Marathi,0.9991673231124878
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712152_CGBTHC_84967_198_7505.wav,BANTAR,Marathi,0.9989987015724182
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10718482_TGKSEP_83936_10079_18546.wav,BANTAR,Marathi,0.9994428753852844
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10719247_CH_265003_0_7854.wav,BANTAR,Marathi,0.9993038177490234
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10722220_BHSMDOA_333016_0_12952.wav,BANTAR,Marathi,0.9993771910667419
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10711857_WBMLRE_8877_8009_20821.wav,BANTAR,Marathi,0.999539852142334
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712702_KTDKARAS_237696_0_7290.wav,BANTAR,Marathi,0.999198853969574
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10711422_UPVNRMS_118382_22_6447.wav,BANTAR,Marathi,0.9993904829025269
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10719176_CGBTGS_96820_0_7906.wav,BANTAR,Marathi,0.9993782043457031
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10722814_BHSMCYR_332947_6328_19186.wav,BANTAR,Marathi,0.9990241527557373
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10712208_KTCMFLM_300560_158_8562.wav,BANTAR,Marathi,0.9994136095046997
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10718587_CGBMEX_346483_2_6431.wav,BANTAR,Marathi,0.9991539716720581
IISc_VaaniProject_S_Bihar_Sitamarhi_91297_10711773_UPVNRI_11356_14129_18969.wav,BANTAR,Marathi,0.9991965889930725
IISc_VaaniProject_S_Bihar_Sitamarhi_91466_10723315_BHARCH_352231_20_10083.wav,BANTAR,Marathi,0.9995566010475159
