File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Chet96852_1409140000_CGBTTR_32902_7298_10948.wav,M,BHATRI,Marathi,0.05089716240763664
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_79409_1028120000_BHJHAT_161828_5386_8181.wav,M,BHATRI,Mahasu Pahari,0.04032381251454353
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_113463_11728627_CGBTBC_52074_177_6375.wav,S,BHATRI,Nepali (individual language),0.04237503558397293
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Dine20526_0927490000_BHGGFIM_150481_1648_10797.wav,M,BHATRI,Bengali,0.8442128300666809
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_70328636_0659450000_CGKDCO_226413_8256_14410.wav,M,BHATRI,Sindhi,0.30972784757614136
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_113463_11738275_CGBTBC_45743_5607_13555.wav,S,BHATRI,Marathi,0.9757624268531799
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122047_12377898_CGBTZO_169944_0_11235.wav,S,BHATRI,Nepali (individual language),0.050844933837652206
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122035_12366211_CGBTWAS_45986_0_6605.wav,S,BHATRI,Thangmi,0.054715778678655624
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122035_12364524_CGBTTHP_45953_5050_12236.wav,S,BHATRI,Gujarati,0.8968358635902405
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Chet96852_0852120000_CGBTTA_201230_14347_18450.wav,M,BHATRI,Mahasu Pahari,0.6397160291671753
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122035_12364956_CGBTWAF_20193_0_6636.wav,S,BHATRI,Gujarati,0.22096574306488037
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Chet96852_0841330000_UPVNCO_147755_6323_12661.wav,M,BHATRI,Bhatri,0.05931839346885681
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_120428_12010361_CGBTHO_130449_7165_18062.wav,S,BHATRI,Wagdi,0.03694736212491989
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122035_12370846_CGBTWAS_88887_312_7175.wav,S,BHATRI,Gujarati,0.26888155937194824
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_113463_11728395_MRPZO_30468_9908_11413.wav,S,BHATRI,Nepali (individual language),0.44669705629348755
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Chet96852_0702460000_CGBMEX_346495_18423_23081.wav,M,BHATRI,Bhatri,0.79373699426651
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122035_12389329_CGBTVEM_88944_0_8048.wav,S,BHATRI,Bhatri,0.07928577065467834
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_120428_12006131_CGBTHT_116471_8_6514.wav,S,BHATRI,Bhatri,0.1393997073173523
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Hemr95156_1148180000_CGBTEV_241627_917_10133.wav,M,BHATRI,Gujarati,0.7582354545593262
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_122047_12402516_APATHEC_134335_835_10000.wav,S,BHATRI,Marathi,0.9772905707359314
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Chet96852_0935490000_CGBTTE_76780_731_8301.wav,M,BHATRI,Goan Konkani,0.03152676299214363
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Dine20526_1011300000_CGBTSU_101014_17275_22883.wav,M,BHATRI,Southern Balochi,0.11639474332332611
